id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
314313,2020-10-12,segunda-feira,12:00:00,MA,222,570,BOM JESUS DAS SELVAS,Condutor Dormindo,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,Não,4,0,3,0,1,0,3,2,-4.429248,-46.769394,SR-MA,UOP03,DEL04
314406,2020-10-12,segunda-feira,18:40:00,MA,316,549.1,CAXIAS,Falta de Atenção do Pedestre,Colisão com objeto estático,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-4.887895,-43.371475,SR-MA,UOP02,DEL03
314540,2020-10-13,terça-feira,07:00:00,MA,135,5.5,SAO LUIS,Falta de Atenção à Condução,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,0,0,2,1,0,3,-2.62145385,-44.25797421,SR-MA,UOP01,DEL01
314589,2020-10-13,terça-feira,09:40:00,MA,135,17,SAO LUIS,Falta de Atenção à Condução,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-2.70991888,-44.31583218,SR-MA,UOP01,DEL01
314592,2020-10-13,terça-feira,16:50:00,MA,230,2,BARAO DE GRAJAU,Desobediência às normas de trânsito pelo condutor,Danos eventuais,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-6.75451474,-43.02540492,SR-PI,UOP01,DEL03
314615,2020-10-13,terça-feira,17:35:00,MA,135,12,SAO LUIS,Pista Escorregadia,Colisão com objeto estático,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Curva,Não,7,0,6,0,1,0,6,1,-2.67223553,-44.29173767,SR-MA,UOP01,DEL01
314625,2020-10-13,terça-feira,18:00:00,MA,135,5.1,SAO LUIS,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-2.62145385,-44.25797421,SR-MA,UOP01,DEL01
314666,2020-10-13,terça-feira,21:10:00,MA,135,105,ANAJATUBA,Defeito na Via,Colisão frontal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,3,2,0,0,1,0,0,2,-3.39583238,-44.50239179,SR-MA,UOP02,DEL01
314725,2020-10-14,quarta-feira,07:45:00,MA,230,404,BALSAS,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Rotatória,Sim,2,0,1,0,1,0,1,2,-7.52339895,-46.04122203,SR-MA,UOP01,DEL05
314770,2020-10-14,quarta-feira,14:30:00,MA,316,485,CODO,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,0,1,1,0,2,-4.633326,-43.871956,SR-MA,UOP02,DEL03
